Ano,Perfil da Carga,Grupo de Mercadoria (SH2),País de Origem,UF de Origem,Cidade de Origem,Instalação de Origem,País de Destino,UF de Destino,Cidade de Destino,Instalação de Destino,TKU (t x km)
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Itacoatiara,IP4 Itacoatiara,Brasil,PR,Paranaguá,Paranaguá,4213386.57235
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Itacoatiara,Terminais Fluviais do Brasil,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,725465.8534
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,SP,Guarujá,Santos,8332538649.40101
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,BA,Salvador,Salvador,1600854068.698039
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,RJ,Itaguaí,Itaguaí,1560549752.17456
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,PE,Ipojuca,Suape,1260810395.95674
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,1021593753.77254
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,PR,Paranaguá,Paranaguá,553775751.1358
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,SC,Imbituba,Imbituba,354702792.8412001
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,SC,Itajaí,Itajaí,254052124.7752804
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,RS,Rio Grande,Rio Grande,148533785.0879999
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,ES,Vitória,Vitória,76819084.28038
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,RJ,Rio de Janeiro,Rio de Janeiro,14514323.6667
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Manaus,Brasil,CE,Fortaleza,Fortaleza,526684.78
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Porto Chibatão,Brasil,SP,Santos,DP World Santos,3139644490.478899
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Porto Chibatão,Brasil,SC,Itapoá,Porto Itapoá Terminais Portuários,642846680.1023196
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Porto Chibatão,Brasil,RJ,Rio de Janeiro,Rio de Janeiro,614829213.9204199
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Porto Chibatão,Brasil,SC,Imbituba,Imbituba,235394.78
2025,Carga Conteinerizada,CT-Contêineres,Brasil,AM,Manaus,Terminal Aquaviário de Manaus,Brasil,SC,Navegantes,Portonave - Terminais Portuários de Navegantes,779620095.2631465
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,AM,Manaus,Porto Chibatão,933586360.8531915
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,SP,Guarujá,Santos,626647031.356523
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,SP,Santos,DP World Santos,504394586.7356002
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,SC,Navegantes,Portonave - Terminais Portuários de Navegantes,276021744.476939
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,195437733.3457401
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,SC,Itapoá,Porto Itapoá Terminais Portuários,191455082.8450199
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,RS,Rio Grande,Rio Grande,183022899.4998
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,PA,Barcarena,Vila do Conde,153535371.9200994
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,SC,Imbituba,Imbituba,79343990.17796995
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,PE,Ipojuca,Suape,60245507.62298999
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,RJ,Itaguaí,Itaguaí,57607874.13847001
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,RJ,Rio de Janeiro,Rio de Janeiro,34452567.026
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,PR,Paranaguá,Paranaguá,25052036.7097
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,SC,Itajaí,Itajaí,4223251.73754
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,ES,Vitória,Vitória,1030693.35
2025,Carga Conteinerizada,CT-Contêineres,Brasil,BA,Salvador,Salvador,Brasil,RS,Triunfo,Terminal Santa Clara,12265.13
2025,Carga Conteinerizada,CT-Contêineres,Brasil,CE,Fortaleza,Fortaleza,Brasil,BA,Salvador,Salvador,269522601.9269403
2025,Carga Conteinerizada,CT-Contêineres,Brasil,CE,Fortaleza,Fortaleza,Brasil,AM,Manaus,Super Terminais Comércio e Indústria,0
2025,Carga Conteinerizada,CT-Contêineres,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,Brasil,SP,Santos,DP World Santos,1498534158.003399
2025,Carga Conteinerizada,CT-Contêineres,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,Brasil,AM,Manaus,Porto Chibatão,1012790455.71864
2025,Carga Conteinerizada,CT-Contêineres,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,Brasil,SP,Guarujá,Santos,924570814.323927
2025,Carga Conteinerizada,CT-Contêineres,Brasil,CE,São Gonçalo do Amarante,Terminal Portuário do Pecém,Brasil,SC,Itapoá,Porto Itapoá Terminais Portuários,565177308.8148003
