campo_shapefile,campo_visum
NO,NO
NAME,NAME
FROMNODENO,FROMNODENO
TONODENO,TONODENO
TYPENO,TYPENO
TSYSSET,TSYSSET
ISFORWARD,ISFORWARD
LENGTH,LENGTH
LENGTHDIR,LENGTHDIR
NUMLANES,NUMLANES
ISONEWAY~1,ISONEWAYROAD
CAPPRT,CAPPRT
V0PRT,V0PRT
VCUR_PRT~2,VCUR_PRTSYS(C)
T0_PRTSY~3,T0_PRTSYS(C)
TCUR_PRT~4,TCUR_PRTSYS(C)
ADDVAL1,ADDVAL1
ADDVAL2,ADDVAL2
ADDVAL3,ADDVAL3
VOLVEHPR~5,VOLVEHPRT(AP)
VOLCAPRA~6,VOLCAPRATIOPRT(AP)
VEHHOURT~7,VEHHOURTRAVT0(AP)
VEHHOURT~8,VEHHOURTRAVTCUR(AP)
VEHKMTRA~9,VEHKMTRAVPRT(AP)
FLUXO_HPM,FLUXO_HPM
HPM_TC,HPM_TC
ID_MOVI~10,ID_MOVIMENTO
ID_POSTO,ID_POSTO
TIPO_POSTO,TIPO_POSTO
VEL_BUS,VEL_BUS
VEL_BUS~11,VEL_BUS_LINHA
VEL_LIN~12,VEL_LINHA_BUS
FLUXO_HPT,FLUXO_HPT
